K,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
2,6.95,8.42,7.8,7.33
3,7.81,9.06,8.03,8.93
4,8.21,8.82,8.84,9.04
5,9.53,10.26,9.42,9.89
