K,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
2,9.98,19.12,13.04,10.33
3,12.81,20.08,15.02,16.8
4,21.32,25.03,17.56,20.96
5,29.3,35.09,27.8,26.93
