Slide Length,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
800,6.83,8.18,8.19,7.82
900,7.42,8.33,7.92,8.54
1000,8.06,9.08,8.21,9.29
1100,8.38,9.75,8.78,9.67
