Num. of Nodes,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
60,108.73,258.17,236.72,272.35
90,195.84,347.61,483.33,389.53
120,304.28,483.23,598.26,603.46
150,300.08,564.73,585.69,608.97
