Slide Length,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
800,110.77,188.45,141.38,173.21
900,141.32,245.36,203.72,246.32
1000,163.28,252.13,243.47,270.49
1100,242.83,331.46,318.56,350.23
