Num. of  Neighbours,Greedy,Optimal,Worst
4,9.29,9.29,9.29
5,10.955,10.95,10.95
6,8.27,7.62,11.85
7,7.72,7.06,12.68
8,7.4,6.65,13.5
9,6.79,6.22,13.5
10,6.65,5.9,13.5
