Num. of  Neighbours,Greedy,Optimal,Worst
4,9.29,9.29,9.29
5,5.78,5.71,9.35
6,5.63,5.52,10.18
7,5.08,5.04,11
8,4.79,4.76,11
9,4.54,4.36,11
10,4.36,4.22,11
