Num. of Nodes,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
60,7.68,9.52,8.07,9.05
90,9.26,10.12,9.92,10.12
120,10.17,10.54,10.47,11.89
150,10.39,12.71,10.96,12.02
