K,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
2,9.82,9.53,8.82,8.76
3,10.93,11.07,9.56,9.96
4,11.96,12.13,10.94,10.64
5,13.25,14.25,12.23,12.03
