K,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
2,5.59,5.71,5.43,6.18
3,5.83,6.02,6.16,6.31
4,6.09,6.91,6.82,6.67
5,6.52,7.37,7.23,7.07
