LinkQuality,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
0.4,151.32,268.75,298.78,317.23
0.45,148.54,255.32,269.35,300.09
0.5,138.72,248.98,249.71,289.28
0.55,122.45,224.31,240.53,282.37
0.6,119.12,204.77,234.16,253.43
0.65,122.23,151.36,175.31,220.19
0.7,137.53,140.23,152.84,183.24
0.75,128.02,130.74,150.25,161.47
0.8,124.71,126.25,143.42,149.88
