K,LDC-COR,LDC-OR,LDC-ACOR,LDC-AOR
2,102.36,185.33,148.23,163.88
3,112.62,226.63,212.58,254.61
4,128.15,278.36,272.36,292.45
5,155.32,298.15,303.86,306.89
